Gene;P-I;P-II;P-III;A-I;A-II;A-III;S-I;S-II;S-III
Xkr4;4.897240605;1.001880165;0;7.046764087;14.81082245;6.64082317;3.027504136;2.820757081;0
Gm19938;7.345860908;5.009400825;1.2865312;18.7913709;20.1004019;13.83504827;9.082512408;10.34277596;11.07747607
Rp1;2.448620303;1.001880165;1.2865312;4.697842725;0;1.660205793;0;0;0
Sox17;186.095143;192.3609917;186.5470239;350.7722568;305.737692;334.2547662;316.3741822;355.4153922;356.3254804
Mrpl15;868.0358972;801.504132;771.9187197;968.5385751;898.1705901;904.8121569;964.2600673;883.8372186;1038.513382
Lypla1;1094.533275;2103.948346;2238.564287;2146.914125;2581.31477;2206.413498;2270.628102;2290.45475;2454.584074
Tcea1;2187.84224;1900.566673;2275.873692;2345.006493;2076.688891;2400.104174;2234.298052;2171.0427;2361.34865
Rgs20;2.448620303;5.009400825;5.146124798;2.348921362;9.521243004;5.534019308;3.027504136;2.820757081;1.846246012
Atp6v1h;872.9331379;691.2973138;867.1220285;825.254372;844.2168797;731.0439506;781.0960671;766.3056736;912.0455301
Oprk1;3.672930454;0;2.573062399;0.782973787;2.115831779;2.213607723;0;1.88050472;1.846246012
Npbwr1;0;1.001880165;0;10.17865924;10.57915889;7.194225101;1.513752068;1.88050472;0.923123006
Rb1cc1;263.2266825;261.4907231;329.3519871;311.6235674;315.258935;354.7306377;267.934116;290.5379793;212.3182914
4732440D04Rik;34.28068424;19.03572313;14.15184319;18.7913709;22.21623368;22.68947916;7.56876034;29.14782317;14.7699681
Pcmtd1;1143.505681;1230.308843;1631.321561;761.8334952;519.4367017;552.295127;384.4930253;460.7236565;390.4810316
Gm26901;144.4685978;60.1128099;60.46696638;28.18705635;42.31663557;50.91297764;4.541256204;32.90883261;34.15555123
Gm30414;3.672930454;4.00752066;0;0;0;3.320411585;0;0;0
Sntg1;1.224310151;1.001880165;0;0;0;2.213607723;4.541256204;1.88050472;0.923123006
Rrs1;1689.548009;1677.147396;1617.169718;2007.544791;1969.839386;1957.382629;1889.162581;1776.136708;1964.405757
Adhfe1;1.224310151;0;0;4.697842725;5.289579447;2.767009654;3.027504136;4.701261801;0.923123006
2610203C22Rik;33.05637408;22.04136363;23.15756159;36.79976801;19.04248601;21.5826753;33.3025455;53.59438453;68.31110246
Mybl1;15.91603197;20.0376033;15.43837439;24.27218741;21.15831779;13.28164634;9.082512408;20.68555192;26.77056718
Vcpip1;330.5637408;363.6824999;411.6899838;431.4185569;460.1934119;430.5467022;510.1344469;444.7393664;321.2468062
1700034P13Rik;9.79448121;11.02068181;7.719187197;13.31055439;10.57915889;9.407832824;6.055008272;2.820757081;0.923123006
Sgk3;119.9823948;98.18425617;108.0686208;104.9184875;99.4440936;97.95214176;90.82512408;128.8145734;65.54173344
Mcmdc2;24.48620303;30.05640495;25.73062399;21.14029226;20.1004019;38.73813516;13.62376861;30.08807553;47.07927332
Snhg6;173.8520415;129.2425413;190.4066175;164.4244954;138.5869815;175.4284121;168.0264796;155.1416394;231.7038746
Tcf24;3.672930454;1.001880165;1.2865312;0;1.057915889;0;7.56876034;0.94025236;1.846246012
Cops5;869.2602074;959.801198;977.7637116;926.2579906;888.649347;992.8030639;937.0125301;994.7869971;1064.360826
Cspp1;832.5309029;883.6583055;896.7122461;847.9606118;596.6645616;928.055038;770.4998026;927.0888272;744.037143
Arfgef1;1347.965477;1237.322004;1372.72879;1160.367153;1009.251758;1097.949431;1120.17653;1024.875073;798.5014004
Cpa6;66.11274817;69.12973138;56.60737278;10.96163302;24.33206545;20.47587144;13.62376861;6.581766522;2.769369019
Prex2;247.3106506;282.5302065;283.0368639;284.2194849;288.8110378;270.0601422;296.6954053;365.7581681;261.2438108
A830018L16Rik;12.24310151;21.03948346;23.15756159;21.92326605;45.49038324;32.09731199;42.3850579;34.78933733;35.07867424
Gm17644;1.224310151;5.009400825;2.573062399;0.782973787;2.115831779;3.320411585;0;5.641514161;0
Sulf1;1111.673617;1201.254318;1429.336163;1905.758199;1691.607507;1654.118371;1102.011506;1133.944346;970.2022795
Slco5a1;58.76688726;85.15981402;87.48412157;111.9652516;81.45952348;89.6511128;102.9351406;64.87741286;70.15734847
Prdm14;1.224310151;1.001880165;0;2.348921362;2.115831779;3.873813516;0;0;0
Ncoa2;277.9184043;288.5414875;331.9250495;275.6067732;269.7685518;324.8469334;267.934116;283.0159604;217.8570295
Gm29570;3.672930454;4.00752066;1.2865312;0;0;1.106803862;1.513752068;1.88050472;0
Tram1;3690.070796;3507.582458;3334.688869;3481.884433;2901.863284;3125.614105;3823.737724;3406.534301;3290.933517
Lactb2;131.0011862;133.2500619;181.4008991;176.952076;144.9344768;192.03047;211.9252895;166.4246678;191.0864623
Eya1;53.86964666;39.07332643;51.46124798;168.3393643;308.9114397;211.9529395;914.3062491;1434.825102;993.2803547
Gm9947;0;0;1.2865312;2.348921362;3.173747668;4.427215447;6.055008272;2.820757081;0.923123006
Msc;1.224310151;5.009400825;0;28.18705635;55.01162625;53.12658536;66.60509099;48.89312273;66.46485645
Trpa1;0;10.01880165;3.859593599;3.914868937;3.173747668;3.320411585;9.082512408;19.74529956;4.615615031
Kcnb2;24.48620303;60.1128099;46.31512318;67.33574572;103.6757572;71.94225101;112.017653;82.7422077;46.15615031
Terf1;751.7264329;671.2597105;694.7268477;694.4977495;763.8152721;656.33469;620.6383479;713.6515414;683.1110246
Sbspon;4.897240605;4.00752066;3.859593599;0;6.347495336;1.660205793;0;0.94025236;6.461861044
4930444P10Rik;4.897240605;3.005640495;1.2865312;4.697842725;8.463327115;2.767009654;4.541256204;0;4.615615031
Rpl7;33470.19092;35118.90542;31682.11732;33357.81524;34092.39745;31962.28192;34692.1699;31471.18675;39993.38112
Rdh10;282.8156449;231.4343181;248.3005215;274.8237994;316.3168509;318.2061102;334.539207;318.7455501;336.0167743
Gm28095;6.121550756;0;0;1.565947575;0;0;0;8.462271242;0
Stau2;210.581346;275.5170454;231.5756159;245.8537693;220.046505;197.0110874;266.420364;243.5253613;198.4714463
Ube2w;358.7228743;359.6749792;352.5095487;385.2231034;388.2551314;419.4786636;376.9242649;347.8933733;406.1741227
Eloc;2158.458797;2018.788532;2414.819062;2290.198328;2187.770059;2131.150836;2344.801953;2135.31311;2560.743219
D030040B21Rik;3.672930454;0;15.43837439;0.782973787;2.115831779;1.106803862;0;17.86479484;0
Tmem70;415.0411413;379.7125825;492.7414494;415.7590812;472.8884025;458.7702007;455.6393725;445.6796187;563.1050338
Ly96;31.83206393;34.06392561;14.15184319;50.1103224;57.12745802;32.09731199;30.27504136;51.71387981;40.61741227
Jph1;12.24310151;16.03008264;16.72490559;14.09352817;9.521243004;30.99050813;9.082512408;21.62580429;7.38498405
Gdap1;7.345860908;5.009400825;7.719187197;3.13189515;2.115831779;8.854430893;3.027504136;7.522018882;8.308107056
Gm28154;0;0;10.2922496;1.565947575;0;0.553401931;0;0;2.769369019
