ID	P_VALUE	Q_VALUE	PERIOD	LAG	AMPLITUDE	OFFSET	MEAN_PERIODICITY	SCATTER	TP_30_REP_1	TP_30_REP_2	TP_30_REP_3	TP_30_REP_4	TP_60_REP_1	TP_60_REP_2	TP_60_REP_3	TP_60_REP_4	TP_90_REP_1	TP_90_REP_2	TP_90_REP_3	TP_90_REP_4	TP_120_REP_1	TP_120_REP_2	TP_120_REP_3	TP_120_REP_4
0610009B22Rik	0.19980900000000001	1.0	127.81053	95.60588606383783	0.15732203892310287	21.640179424301202	0.634485	1.5936434346156088	21.75966986	21.20447902	21.35587943	21.78731222	21.58680357	21.35455846	21.45874224	21.87449022	21.53486204	22.0826288	21.84634908	22.01235634	21.76803636	21.32890854	21.71496715	21.7659039
0610010K14Rik	0.20609145845362306	1.0	129.44792	100.95115543776306	0.11349353806107612	24.953297839907897	0.39711913	1.6000780846247058	24.62362508	24.96053266	24.64696721	24.80754866	24.71878056	25.0829682	24.9778691	25.15582541	25.26236489	24.51738854	25.1371292	25.02515676	25.23837603	25.26384844	24.81118222	25.03563509
0610012G03Rik	0.59474944	1.0	128.44669	10.221462483705826	0.0926139652065743	21.028257184640005	0.6472572	2.542951594664611	20.86615591	21.17812245	21.22796523	20.98846712	20.88662159	20.91942386	20.9235153	21.17069851	21.28672403	21.02589292	20.78087873	20.68263349	21.35421632	21.00302786	21.09724994	20.94746773
1110065P20Rik	1.0	1.0	128.9188	104.6421219097614	0.08769562561218067	19.603531117580037	0.16208483	1.8860073309755407	19.67718373	19.69426373	19.3699205	19.66813023	19.43785135	19.68344742	19.16607778	19.62341263	20.1239888	19.27784193	19.77951533	19.83016155	19.65517194	19.70548284	19.45468481	19.52940216
1700009N14Rik	0.29713401	1.0	131.09865	100.15198979141006	0.14970792561740542	22.279857409767267	0.7619139	1.8018549011018252	22.16020478	22.26996293	22.3721379	21.47030812	22.28113533	22.32732686	22.06394313	22.40934238	22.797085	22.02049364	22.47775122	22.27601562	22.34807066	22.6738463	22.35103784	22.17161226
1700017B05Rik	1.0	1.0	129.3089	8.232060179923344	0.09693013295564046	18.247248590119057	0.11236635	1.8842605545201503	17.97294662	18.3388807	17.97569051	18.46310952	18.49973998	18.9093566	17.9459034	17.87627079	17.87387481	18.29542341	17.92947907	18.09899889	18.56298995	18.17906818	18.21225413	18.71857845
1700037H04Rik	0.48483369000000004	1.0	131.14459	48.006313280493885	0.14681047512109524	23.383921301780163	0.88654596	2.233329162604694	23.71256642	23.69454635	23.68971108	23.00403514	23.50165581	23.68720305	23.62896468	23.02755799	23.66415201	23.46075674	23.61588644	22.79333483	23.14854422	23.45900741	23.35717592	22.71833914
1810009N02Rik	0.41237880021381024	1.0	130.73799	52.018993926383914	0.4412794240790058	21.90693392518544	0.2908465	0.3895897311618266	22.13023563	22.5414225	22.32962634	22.60773285	22.15919783	21.65584035	21.98219157	22.35174202	21.93235875	21.9903917	22.34524612	22.29091381	20.71712608	21.16333325	20.9988819	21.20910555
2200002D01Rik	0.98069409	1.0	128.0402	6.1134695532315	0.28516089190052285	18.666686914449592	0.6241963	7.993076695549097	18.14512813	16.1124641	17.74963586	23.28690239	16.82609707	18.03131796	18.52451538	20.11614718	17.3891497	17.914185		20.34120566	17.74006056	18.0846248	19.05072393	20.46955428
2210016F16Rik	0.82864609	1.0	128.15446	12.237849923850746	0.0815762560990469	23.94511384958912	0.6014834	3.6720954047251477	23.76549936	24.05455765	23.95751657	24.28274251	23.76712266	23.89183142	23.75765448	24.06664671	23.49805522	24.08544407	23.751922	24.25932598	23.73544015	23.80485636	24.00316693	24.34368876
