ID	P_VALUE	Q_VALUE	PERIOD	LAG	AMPLITUDE	OFFSET	MEAN_PERIODICITY	SCATTER	TP_30_REP_1	TP_30_REP_2	TP_30_REP_3	TP_30_REP_4	TP_60_REP_1	TP_60_REP_2	TP_60_REP_3	TP_60_REP_4	TP_90_REP_1	TP_90_REP_2	TP_90_REP_3	TP_90_REP_4	TP_120_REP_1	TP_120_REP_2	TP_120_REP_3	TP_120_REP_4
0610009B22Rik	0.52056225	1.0	131.1412	73.0511984732438	0.1391444769532431	20.989234841984334	0.46228853	2.282229930329276	20.91137605	20.77502226	20.89326773	21.33688888	21.1385374	20.82721063	21.02065599	21.14171469	21.26448015	21.44684305	20.71938738	21.17810539	20.92512174	20.19024793	21.04569082	21.22404821
0610010K14Rik	0.13538786118154836	0.8698060294798502	125.37819	117.73189543964693	0.24100849006827174	24.548767354582523	0.48722696	0.7912150561553171	24.37476598	24.24295298	24.72410508	24.78713577	24.05338591	24.29886737	24.23171933	24.24608284	24.85182162	24.62528778	24.53827259	24.52082366	24.51526389	25.02666923	24.70994689	24.7334471
0610012G03Rik	0.030275999999999997	0.6246637927114966	130.88873	91.65899088581932	0.26507948884648275	20.497606541389693	0.70914465	1.0944643740484763	20.00638774	20.42054048	19.93876677	20.52831442	20.45590154	20.35866828	20.75390518	20.81696918	20.98411342	20.56979967	21.00323146	20.48135151	20.79611139	20.54875601	20.55417905	20.32162651
1110065P20Rik	0.2632068239019446	0.8959024888031566	128.26723	126.5690520957525	0.2800040735944021	19.268669014065576	0.3544482	0.7616435362994521	19.31290929	19.42263217		19.35734142	18.85584251	18.9309792	18.78924684	19.0405332	19.3165723	18.89033969		19.67484856	19.35693653	19.32912323	19.29489874	19.67693712
1700009N14Rik	0.65918161	1.0	128.21799	51.01631608494678	0.25002239079180855	21.4942877053913	0.6192388	2.727541755794103	21.42901058	21.94704831	22.04047375	20.78110413	21.51562658	21.87303286	22.05751873	21.81610116	21.80732079	20.77650314	21.77903304	21.05756492	21.57992963	22.16244467	21.93869391	19.54802106
1700017B05Rik	0.8019202499999999	1.0	129.6862	63.98462080207931	0.13762519684284064	17.39705928682873	0.59997267	3.4799306540256882	17.21674817		17.57015609	17.27764037	16.83768587	17.77361627	17.48072649	18.11751039	17.70748087			17.13018935	17.0453728	17.58416075	17.41858695	
1700037H04Rik	0.8116208100000001	1.0	125.52273	113.87210696943863	0.10387538860263446	23.022140253476117	0.47222805	3.5495994919197646	23.23552163	23.01124222	23.36871601	22.38405169	22.98385203	22.92082951	23.21825023	22.47415272	23.19430368	23.19049835	23.34083917	22.62972903	23.25853978	23.21718932	23.1472363	22.74740928
1810009N02Rik	0.7567260100000001	1.0	130.37692	72.62546094328235	0.1453024505327018	21.663351503754335	0.80288696	3.14915624242984	21.8677881	21.32186153	20.6626139	22.52040714	21.58931585	21.46720951	21.84879132	22.22113641	21.73716862		21.83690737	21.77987394	21.3318383	21.87693044	21.2888128	21.77981496
2010204K13Rik	0.14447601	0.8698060294798502	126.61795	108.82011256165937	0.8176382814730112	18.228414322943905	0.6994662	1.4546656517012477	17.93976661	17.06160074	17.4319886	18.64783541	17.88303106	16.79975679	17.06545801	18.18824509		17.87509207		19.84711675	19.28867594		16.9036157	20.12709593
2200002D01Rik	0.85821696	1.0	127.704994	111.78684596593826	0.3335965704398237	19.009132696643015	0.74035424	3.9799398697557162	19.58864949	17.35769046	18.32345943	20.0346129	19.05131988	18.93973492	18.10045413		19.56822763	18.19229002	17.85954346	21.12464624	19.92494149	18.16312274	18.18814619	20.9174686
2210016F16Rik	0.49084036	1.0	133.04498	35.99710336233778	0.13811810246071426	23.533876393092903	0.7173073	2.2068447131840156	23.40544814	23.87991187	23.38659474	24.06279	23.52321466	23.58884936	23.23643738	23.97336756	23.26722891	23.34103268	23.32828153	23.75394042	23.45543288	23.20358716	23.34207122	23.74608046
2210016L21Rik	0.4327066672721487	1.0	129.1207	0.0	0.3702276232148006	22.119470105054695	0.28693873	0.9834652600216524	22.39760903	22.55333364	22.33983148	21.95275159	21.48735845	21.95575393	22.22006514	20.81096959	22.11295814	21.961533	22.07102945	22.40760097	22.42092218	22.06195884	22.15035963	22.44032024
2310022A10Rik	1.0	1.0	130.23845	122.29574843071671	0.13175978841128425	22.116658402404717	0.10924905	1.5892020385909458	22.45851365	21.61189587	22.40788007	22.33592211	21.47468758	22.08510188	21.44948433	22.23305804	22.46094466	21.99248615	21.88402649	22.58435068	22.20176474	22.09845826	22.20625582	22.03549925
2410002F23Rik	0.022380160000000003	0.6246637927114966	130.11714	60.05548023028411	0.20995092538328947	22.764538821731286	0.7195433	1.0506351577129158	22.75285174	23.06040755	22.45021328	22.70945597	22.91456395	22.97271122	22.86276135	23.12216578	22.81394078	22.95229506	22.87655848	22.57427659	22.61753148	22.74692512	22.56518903	22.33993734
2610044O15Rik8	0.74666881	1.0	128.73125	8.195285712878485	0.2655636526097759	19.105902151218082	0.21123993	3.0981373719225975	20.20826344	18.66883054	18.54131079	20.07065478	19.10050027	18.64670871	18.38631372			19.86700404	18.33099691		20.71152516	18.18294734	18.55058526	
2700097O09Rik	0.20034576	0.8758895756177715	128.99132	6.158881750708326	0.24968295156841233	22.413557531591366	0.7538562	1.5844434653775834	22.632936	22.70617608	22.17899003	22.48642814	22.46074422	22.39389169	22.27282836	21.79578369	21.99274261	22.27330144	22.13227849	22.56689065	22.92676382	22.07347239	22.46803902	22.972192
2900026A02Rik	0.04884434640982734	0.721010022586207	129.18375	51.400579492012064	0.49612957432648663	18.256691612029954	0.59497094	1.0004497303634536	17.76393877	18.35917904	19.10751256	17.88208475		18.91178661	19.12128489		18.32665279	17.16433609		18.31389479		18.37766133	18.33146533	17.11673087
4930522L14Rik	0.06091024	0.8016204064273504	128.33958	89.87386867252204	0.2514249117024446	18.90415883634649	0.72791135	1.225252194619137	18.47400329			18.87272997	18.67248617	18.71830818	19.342122	18.98126311	18.77964765	19.44868963		19.24672965	19.02246688		18.79610278	18.84008044
5031439G07Rik	0.45522008999999997	1.0	131.36555	73.17617089983348	0.22836597978790027	21.270467869926378	0.60722274	2.123174461210253	20.87498406	21.12828286	21.37395172	21.40900616	20.93650721	21.32131721	21.61938305	21.69457882	21.73571341	21.56417445	21.64020664	21.00308829	21.34622702	21.49728431	21.32723055	20.20703425
5730455P16Rik	1.0	1.0	130.67822	54.0750212345343	0.037769125821311096	22.456340399141773	0.109987885	2.437633974361238	22.42616205	22.3481723	22.52197666	23.12513471	21.22260186	22.41641222	22.63850341	23.15741603	22.39157451	23.34930063	22.22774928	22.49320455	22.42295984	22.32846162	21.58807655	22.36149359
5730507C01Rik	1.0	1.0	130.19128	66.30587655897261	0.06476854243145523	20.162598238919905	0.116216056	5.887449294814665	20.90739613	19.34777288	20.02867342	20.53274963	20.45016555	19.68575041	19.76204261	20.63340918	20.18910675	20.81541193	19.81273082	20.20389807	20.46461217	19.35236593	20.09954333	20.30010867
8030462N17Rik	0.2726741736924033	0.9001894237578758	127.27775	119.51560826617629	0.5464971827246454	21.025768461951966	0.34812817	1.2443149001768992	21.5452789	20.91837935	21.16599631	20.80096392	21.03575419	20.86453196	20.71931151	17.14374249	21.41295178	20.12424324	21.30020887	22.1569007	21.27292465	21.13656417	21.42391856	21.81187785
9530068E07Rik	0.12383361	0.8698060294798502	128.4474	83.81646034059332	0.2661734105146581	23.1743223827578	0.74465805	1.4069317298349808	22.7073138	23.22400718	22.92597545	22.93428352	23.53203182	23.07208542	23.43942672	23.13124542	23.28396209	22.97444221	24.06078736	23.370485	23.15625404	23.40424701	23.12316791	22.72926827
A0A087WPF7	0.7951288900000001	1.0	130.9931	43.78121970127013	0.07440380574190313	22.47156787407468	0.30976766	3.4222776249898312	22.63775368	22.63790408	22.6439043	22.26794729	22.47839174	22.58323592	22.70016049	22.14370939	22.2694658	22.19639833	22.48743546	22.97347289	22.33622968	22.52396687	22.28520589	22.41544251
A0A0A0MQ99	1.0	1.0	129.09506	121.22209199197832	0.1575154881708361	24.2837476666462	0.15868767	1.7173077908051866	24.76224331	24.33405022	24.17118744	24.1151237	23.93483464	24.25676846	24.36441611	23.47838019	24.3170643	24.16746539	24.31164745	24.77640423	24.36318025	24.42093627	23.97773782	24.59672962
A0A0A0U6W1	0.11758040999999998	0.8698060294798502	129.97824	59.99137067834013	0.06850688747343656	22.57082892660347	0.5493921	1.3916732062744854	22.33162899	22.69960154	22.40690984	22.65178693	22.93469035	22.79345541	22.68173307	22.82287735	22.67913219	22.25846145	22.78072637	22.45144292	22.22478965	22.78190679	22.66722324	22.48967577
A0A0N4SVL0	0.28313041	0.9105350988262323	129.91512	59.96223509486302	0.047679756965698344	27.007557810947397	0.6253154	1.7596072158165028	27.00192445	26.88566175	27.03004823	27.0195887	27.26214611	27.01046504	26.98592422	27.19817714	27.06616013	26.77002141	27.110145	27.05532989	27.00783686	27.07610709	26.96853917	26.84344068
A0A140T8K6	0.11791033267972416	0.8698060294798502	125.2168	115.58745864858227	0.23215573084409621	28.5446447213564	0.51352394	1.1292589062088845	28.41365912	28.54354545	28.72770594	28.33615519	28.07289949	28.33698346	28.37100429	28.20250524	28.61008247	29.16748972	28.73326406	28.09106535	28.84150871	28.72098076	28.43836528	28.92309848
A0A140T8M7	0.27578661357970197	0.9016850601781925	126.539116	112.78022442892944	0.18784870885146854	29.175625063994055	0.3461688	1.1045905547414916	29.17270993	29.03480047	29.49329258	28.89689067	28.93387198	28.97357996	29.1800405	28.613172	29.37831821	29.51008607	29.33907876	29.07966864	29.46519385	29.24759405	29.19922001	29.20928836
A0A140T8V1	1.0	1.0	130.76334	66.59722025118526	0.04376972689710404	21.550702001471905	0.07838771	2.733394173305985	21.38935423	21.94447588	21.53127726	21.62387809	21.56729709	20.72444817	21.7640138	21.787449	21.76531105	21.47889678	21.60147544	21.82310854	21.66759505	21.59532912	21.59771618	20.87645113
A0A140T8V3	0.33686416	0.9402944240984793	131.431	73.21262650329149	0.10700313476630846	27.69035582738899	0.4429351	1.8701621021967618	27.70945771	27.81422634	27.42289683	27.47272964	27.78730556	28.04429144	27.74954452	27.6621124	27.86665361	27.74485231	27.75438643	27.5565511	27.78669785	27.72390375	27.7460695	27.37963732
A0A1B0GRB2	1.0	1.0	129.90573	47.552820290257195	0.10350205480415195	21.83121085045031	0.100168504	0.6204475338564953	21.72880117	21.94328023	21.70217728	21.68101835	22.1075525	22.10678515	22.09413169	21.91032524	21.51570295	21.69109338	21.64987036	21.75007307	21.92105939	21.74002677	21.81977287	21.98297285
A0A1L1SRT0	0.55145476	1.0	130.09204	22.775270523005346	0.13396321015274754	24.75826308065274	0.38387167	2.365678633682953	24.87009337	24.91830698	25.13501068	24.71032252	24.58958679	24.68227404	24.95048478	24.52665195	24.82093166	24.52139929	25.02876045	24.6190382	24.80474037	25.03534523	24.8186493	24.2682859
A0JLQ7	0.25482304	0.8949305389259524	130.32005	53.92680965088699	0.2106954631035399	24.328040197699295	0.527268	1.6973296588933204	24.77973785	24.08945681	24.29230567	23.94728206	24.91026403	25.15593729	24.54127692	24.25104057	24.41859423	24.47981618	24.60552039	23.20263483	24.39783548	24.26844712	24.40488841	23.86334996
A1E5T5	0.3493978465356824	0.9418742634091704	127.5246	119.74740303000118	0.5039687640409467	23.211512576018087	0.3089635	0.40449347516789935	23.07905358	22.82776664	23.57230293	23.75474803	22.13969746	22.53288989	22.35830969	21.9147885	23.58061695	23.34676061	23.32822278	23.5311315	23.36982259	23.52111392	23.50525799	23.73643296
A2AIX1	0.34845409000000005	0.9416455033029135	131.67484	33.53072144591825	0.09572100113566165	24.922743515448737	0.7171835	1.8970620800348637	25.11194005	25.33863984	25.02696995	24.83484656	24.91071201	25.11878214	24.9704354	24.64246697	24.7030761	24.6375643	24.83991975	25.26379915	24.80242702	24.94734866	24.69483275	24.93587732
