ID	P_VALUE	Q_VALUE	PERIOD	LAG	AMPLITUDE	OFFSET	MEAN_PERIODICITY	SCATTER	TP_30_REP_1	TP_30_REP_2	TP_30_REP_3	TP_30_REP_4	TP_60_REP_1	TP_60_REP_2	TP_60_REP_3	TP_60_REP_4	TP_90_REP_1	TP_90_REP_2	TP_90_REP_3	TP_90_REP_4	TP_120_REP_1	TP_120_REP_2	TP_120_REP_3	TP_120_REP_4
0610009B22Rik	0.75272976	1.0	131.2872	77.31152587168684	0.15439479816813956	21.32931735692427	0.545702	3.1484605910495445	20.75111056	21.17007977	21.66871914	21.49988107	21.33981476	20.91077015	21.71384993	21.60104321	21.45301175	21.32030338	21.49301593	21.72795014	21.58615165	20.32814893	21.15517695	21.79961069
0610010K14Rik	0.7449416099999999	1.0	129.71667	103.22524998304966	0.0871639625934284	24.726773501349676	0.51328725	3.0968607236862895	24.67437471	24.80461559	24.10306966	24.8167344	24.74156314	24.79355774	24.3225723	25.04670996	25.06220601	25.23927161	24.32441505	24.4258878	24.89919552	24.74810793	24.84271855	24.79167329
0610012G03Rik	1.0	1.0	128.99048	82.11788907020258	0.07031418424514282	20.833384579529756	0.09197641	1.111925408317501	20.73880385	20.31958476	20.86697758	20.76360953	20.94741714	20.81611529	21.14002952	21.06040048	20.88952386	20.88673075	20.61387818	20.59304978	20.82146101	20.82500264	20.98936347	21.03437728
1110065P20Rik	0.34904464	1.0	129.7561	113.58228898970458	0.20249164958801497	19.410584245004767	0.75121874	1.90036504489327	19.25014353	19.12291426	19.58239529	19.18102658	18.72069302	19.28446526	18.91954566	20.03184812	19.60524935	19.58733058	19.24486945	19.36394957	20.04720466	19.35696754	19.2503425	19.85660182
1700009N14Rik	0.23668224999999998	1.0	132.00882	54.625626036528594	0.3960896961414063	21.862717944962554	0.73089856	1.6677070354043346	21.67347049	21.96864372	22.32909989	22.11282007	21.80021454	22.2397948	22.40246617	22.52311575	21.84102174	22.09718208	22.2864568	21.68620928	21.69755962	22.10936826	22.57663296	19.34275448
1700017B05Rik	1.0	1.0	129.89804	41.34783057346859	0.031000827336144038	18.187628554208857	0.100278944	2.0347309455356535	17.9049266	17.85466506	18.54826066	18.34004461	18.1076632	18.63600978		18.30135502	17.93311476	17.57093397	18.5157857		18.32904246	18.16192139	18.28449928	18.0857091
1700037H04Rik	0.7268910710472664	1.0	129.53517	32.985860559808366	0.11844023803296957	23.056113491228135	0.18427846	2.936085545001797	23.5416477	23.26748514	23.1957525	22.37332791	23.26788395	23.45496901	23.24443244	22.6942147	23.23373089	22.58402307	23.17299628	22.43182639	22.7532177	23.28811328	23.45256241	22.83947703
1810009N02Rik	0.24532209000000002	1.0	131.9321	41.99529122208682	0.3203772049226298	22.0424940732959	0.80899763	1.6821183507702462	22.33139818	22.61821559	21.8668573	22.33062137	22.19784291	22.56430636	21.81599162	22.51173364	21.20077239	22.30154352	21.55485706	22.2844286	21.40857141	21.86882861	21.15274971	22.65104416
2200002D01Rik	0.48149720999999995	1.0	131.72345	35.639544841384186	0.42763647122687715	18.66629561875469	0.6925889	2.2219410301146505	18.61518215			19.95944145			17.78229538	19.53212175	19.16013093	17.77543577	17.61402701	19.21607593	17.80264227	17.09881545	17.92484368	20.19214165
2210016F16Rik	0.87086224	1.0	128.84096	6.151702584406319	0.06605519878836277	23.778196239649397	0.1869706	4.115698752147456	23.63121816	23.69884111	23.83735177	24.21640958	23.8113939	23.67309141	23.13174883	24.09840118	24.05896608	23.85691385	23.42092776	23.78921401	23.84491528	23.75002347	23.52213978	24.02614342
2210016L21Rik	0.6561000000000001	1.0	127.261246	115.44926103295008	0.18485215035750557	22.63054047824042	0.27377707	2.724423075274993	23.17048965	23.02105454	21.85714586	22.50619433	22.69785059	23.06046956	22.08150745	21.53068831	23.1548282	22.66303554	21.98981379	23.26361138	22.8682967	22.70864203	22.95650314	22.38901041
2310022A10Rik	0.74149321	1.0	127.11912	121.38981569576976	0.11223942732608028	22.486542895626926	0.3957628	3.084415316281679	22.73071834	22.48899287	22.05259958	22.74420294	22.28382827	22.19525963	21.64673826	22.90094401	22.81896194	22.72883506	21.73768185	22.76260998	22.12809602	22.65867766	22.47506337	23.03896919
2410002F23Rik	0.31483321000000003	1.0	129.26186	65.83252271431095	0.14782697650071358	23.00924758274254	0.47799486	1.8238323029900854	22.90292498	22.30146874	23.38965848	23.04573394	23.08021697	23.16259399	23.4920502	23.15125065	22.77401017	22.85429383	23.39460721	22.96077844	22.99010375	22.83442085	23.02075843	23.00676044
2610044O15Rik8	0.85396081	1.0	131.38791	31.366552754400136	0.2176181601651161	19.76964033096204	0.69236255	3.916088219996385	19.5581912	20.61484879	19.91248129	20.700232	19.63755195	18.70154215	20.79227945		21.7968073	19.49734127	20.06397347	17.09161841	19.86297414	20.39317652	18.61051938	
2700097O09Rik	0.08201721098893881	1.0	126.670746	18.14424781239227	0.3619847185578458	22.664169821287963	0.5673231	1.016058384618597	23.05138129	22.93641834	22.75028307	22.76688915	22.89801717	22.41287779	22.48236482	22.4312723	22.64687188	21.67726482	22.07546443	22.66771547	22.92475878	22.74651452	22.50448308	23.27354835
2900026A02Rik	0.045156249999999995	1.0	132.05037	58.84611321475051	0.6032741129991805	18.694940136987125	0.713387	1.1734127847514697	18.46045501	19.40661996	18.72437646	18.65341613	18.94993846	19.70786446	19.03480368	19.50126065	19.49358211	18.70322378	19.93622709	17.71148471	18.24459267	18.77627444	17.32251449	18.08316723
4930522L14Rik	1.0	1.0	130.72145	89.46134977462147	0.18783140603435752	19.20656514779232	0.07947654	1.4832806582236824	19.42303975	19.16682057	19.66533554	19.12209345	18.75588012	19.00271723	19.45851991	19.45321768	19.33601259		19.54693257		19.23742183			19.12003387
5031439G07Rik	0.22174681	1.0	129.22438	43.19006773929741	0.3437398036588797	21.58204165450926	0.7119637	1.632009337295872	21.39241517	21.52637313	22.24521315	22.12310466	21.71737051	21.52607221	22.22337087	22.21377859	21.42740137	21.61557449	21.77950627	20.21770823	22.11707911	20.93585749	21.70057394	20.57732505
5730455P16Rik	1.0	1.0	129.51508	32.98074319994381	0.12893067140476983	22.41918656392667	0.12459996	2.9392583834618367	21.83338663	23.20813947	22.10880058	22.58238923	23.06451745	22.48372012	22.11279762	22.60266712	22.86600953	22.46300863	21.42876214	21.89080446	22.32692046	22.65534255	21.97728423	22.9641459
5730507C01Rik	0.8913248100000001	1.0	132.07843	37.83768306892801	0.12115927245239089	20.53647381687547	0.67665684	4.324121552506381	21.05796087	20.89917883	20.11604665	20.7368303	21.24638633	19.77116995	21.05656475	20.11793784	20.75969051	20.5817798	20.45619603	20.11166055	21.0716508	19.55449753	20.00846128	21.01610208
8030462N17Rik	0.7387402500000001	1.0	128.19034	95.88999206261639	0.15090568708011243	21.466486172098108	0.5851449	3.0729014364036273	21.90194638	22.04115991	20.12240497	21.4761602	21.58002448	21.70417632	21.02592097	21.16579601	22.02749658	21.87925225	21.14230522	21.7488153	21.21054018	21.38812556	21.32211666	21.87500557
9530068E07Rik	0.7779240000000001	1.0	130.45448	58.134932304614615	0.08117364162285756	23.563156283684393	0.5861524	3.308737099492026	23.24158207	23.1402337	23.7900479	23.97824689	23.71664301	23.83432356	23.72872025	23.58217508	23.02744377	23.75868989	23.86194163	23.45546714	23.4081691	23.42989771	24.02980726	23.22509087
A0A087WPF7	0.9319971600000001	1.0	130.79031	54.12140483669308	0.02604820329896475	22.994368034596754	0.41111138	5.218592403616998	23.01525298	23.28365162	22.90498638	22.8650479	22.87717505	23.48482096	22.76246871	22.90332942	23.17520313	23.22302298	22.82309445	22.824596	22.84383811	22.76693447	22.91357042	23.17664288
A0A0A0MQ99	0.8660163599999999	1.0	130.82518	81.20374893709777	0.08781120107987378	24.45594136583662	0.28199133	4.053896662039735	24.42133015	24.45714576	23.97114809	24.54573805	23.83730147	24.68081284	25.17523809	24.53095156	24.66549367	24.37883375	24.45849547	24.36008827	24.2897053	24.37343979	24.1204362	25.09472779
A0A0A0MQD5	0.8969984100000001	1.0	132.48221	73.7981941025988	0.07508689945979566	21.811804387168884	0.3196499	4.421738887038815	21.69793888	21.64658479	21.7324121	21.87065038	21.61990399	21.62406241	22.22916825	22.19818574	21.76062135	21.21995623	22.49084294	21.80990634	21.3403139	21.81298828	22.21549111	21.85776594
A0A0A0U6W1	0.62916624	1.0	127.96687	30.54984062527692	0.09839592574089973	22.68206812773252	0.55048436	2.6191464852209325	22.50572095	22.70888565	22.91477764	22.92603202	22.6372237	22.51225917	23.06662057	22.62745384	22.49049344	22.30346646	23.10135509	22.14563014	22.54081746	23.07780048	22.68977692	22.41498723
A0A0N4SVL0	0.91450969	1.0	132.25128	77.87924730987957	0.0524271932300176	27.297766386495177	0.5247253	4.779862582200009	27.15034503	27.08591124	27.58212491	27.29928035	27.37871801	27.15410197	27.35113542	27.36869514	27.2028867	27.03597356	27.34677839	27.86375212	27.32754162	27.38521829	27.3196733	27.00882474
A0A140T8K6	0.70157376	1.0	128.45981	120.62557957611939	0.09948944841281704	28.798695427373218	0.7303927	2.909527611974808	28.95664403	29.06862082	28.74990028	28.33551884	28.67310762	28.72366551	28.79566314	28.59927805	29.02689231	29.20966831	28.63025687	28.26383427	28.96471006	28.72262988	28.85502932	29.06146171
A0A140T8M7	0.54848836	1.0	127.75791	101.66651581654308	0.059869993716673654	29.514925530207023	0.41292396	2.388163466785613	29.57490136	29.62162625	29.52959	29.23770033	29.49618421	29.42090955	29.4167165	29.489404	29.8189756	29.86976826	29.43065886	29.29910269	29.67014584	29.46633279	29.50381811	29.42249762
