sample,Gene,Z-score,group,replicate
P-I,1110065P20Rik,-1.5895070315304765,Posterior,1
P-I,2310009B15Rik,2.808630526202756,Posterior,1
P-I,2310022A10Rik,1.8029530042876893,Posterior,1
P-I,2310061I04Rik,0.7097431062761737,Posterior,1
P-I,2410002F23Rik,-1.7484802797795962,Posterior,1
P-I,2610008E11Rik,-0.2516241572987001,Posterior,1
P-I,2700049A03Rik,-0.06583057170985482,Posterior,1
P-I,2700097O09Rik,-1.4236092809379535,Posterior,1
P-I,2810408A11Rik,1.5286465350641287,Posterior,1
P-I,2900026A02Rik,0.10218794535888447,Posterior,1
P-I,4930522L14Rik,0.8382741526956738,Posterior,1
P-I,4933427D14Rik,1.2778216777434206,Posterior,1
P-I,4933427D14Rik.1,-1.0057224754300753,Posterior,1
P-I,5031439G07Rik,-1.1118315319384169,Posterior,1
P-I,5730507C01Rik,1.6002772826638025,Posterior,1
P-I,9130023H24Rik,0.6811103955407415,Posterior,1
P-I,9430015G10Rik,-0.4528278786942855,Posterior,1
P-I,A1bg,-1.2358443317556889,Posterior,1
P-I,A2m,-0.9149186775435904,Posterior,1
P-I,A630089N07Rik,-0.28030029012465413,Posterior,1
P-I,Aaas,-0.861922622562998,Posterior,1
P-I,Aacs,2.0736602571527873,Posterior,1
P-I,Aadat,1.3378183171338403,Posterior,1
P-I,Aagab,0.9676624340498354,Posterior,1
P-I,Aak1,0.2603460952586558,Posterior,1
P-I,Aak1.1,-1.0166882236414172,Posterior,1
P-I,Aamdc,-1.5573524526235552,Posterior,1
P-I,Aamp,-1.6360443171969599,Posterior,1
P-I,Aar2,1.9933514420922507,Posterior,1
P-I,Aars1,-1.1822492056387874,Posterior,1
P-I,Aars2,-0.4765947026138128,Posterior,1
P-I,Aarsd1,-1.519649477298073,Posterior,1
P-I,Aasdh,1.0284660365826253,Posterior,1
P-I,Aasdhppt,-0.30895981457403277,Posterior,1
P-I,Aass,-0.27710979750011294,Posterior,1
P-I,Aatf,1.159288000456749,Posterior,1
P-I,Abat,1.5014469226295728,Posterior,1
P-I,Abca1,-0.38252202954139874,Posterior,1
P-I,Abca2,1.7129982358745548,Posterior,1
P-I,Abca5,2.8010211022392912,Posterior,1
P-I,Abca9,-1.2404647921121361,Posterior,1
P-I,Abcb10,-0.9853216282878622,Posterior,1
P-I,Abcb1b,1.2209524481679108,Posterior,1
P-I,Abcb6,2.2749432964290577,Posterior,1
P-I,Abcb7,0.9292744071047929,Posterior,1
P-I,Abcb8,2.064139650840744,Posterior,1
P-I,Abcc1,0.09930265770842711,Posterior,1
P-I,Abcc10,-0.18114429901930015,Posterior,1
P-I,Abcc4,1.3433422567037339,Posterior,1
P-I,Abcc5,0.29025225657868964,Posterior,1
P-I,Abcd1,2.0723882976228807,Posterior,1
P-I,Abcd2,0.1261691836594941,Posterior,1
P-I,Abcd3,-0.3326687077805202,Posterior,1
P-I,Abcd4,-1.643252159100871,Posterior,1
P-I,Abce1,1.9707490868425153,Posterior,1
P-I,Abcf1,1.6941720777930924,Posterior,1
P-I,Abcf2,0.1416612983184078,Posterior,1
P-I,Abcf3,-2.2085954196025726,Posterior,1
P-I,Abcg1,1.5925915028289153,Posterior,1
P-I,Abcg2,0.08455302853576457,Posterior,1
P-I,Abhd10,-0.7236188382501519,Posterior,1
P-I,Abhd11,-2.41963802864659,Posterior,1
P-I,Abhd12,0.8668433113091063,Posterior,1
P-I,Abhd13,0.8152276738887572,Posterior,1
P-I,Abhd14a,-0.40546622140288496,Posterior,1
P-I,Abhd14b,-1.4082159001427317,Posterior,1
P-I,Abhd16a,1.2578117522536056,Posterior,1
P-I,Abhd17a,2.4017899170538755,Posterior,1
P-I,Abhd17b,1.7712629245778722,Posterior,1
P-I,Abhd17c,-2.3376405296999327,Posterior,1
P-I,Abhd18,-0.7426708910046,Posterior,1
P-I,Abhd2,2.2751427422689012,Posterior,1
P-I,Abhd4,0.05897476776262973,Posterior,1
P-I,Abhd5,-2.453326242069692,Posterior,1
P-I,Abhd6,2.0728484934867226,Posterior,1
P-I,Abi1,1.097573633474157,Posterior,1
P-I,Abi2,-1.25229508090539,Posterior,1
P-I,Abi3,1.489903075744169,Posterior,1
P-I,Abi3bp,-1.3430798080055648,Posterior,1
P-I,Abitram,0.6592801038726538,Posterior,1
P-I,Abl1,-1.1358818110455786,Posterior,1
P-I,Abl2,0.1325718114612988,Posterior,1
P-I,Ablim1,1.762848985726337,Posterior,1
P-I,Abr,0.6896565426876545,Posterior,1
P-I,Abracl,-1.6211065026142422,Posterior,1
P-I,Abraxas1,0.4968156553473773,Posterior,1
P-I,Abraxas2,0.701214063344605,Posterior,1
P-I,Abt1,0.0324317160492596,Posterior,1
P-I,Abtb1,-0.7163670831073258,Posterior,1
P-I,Abtb2,1.487837756040582,Posterior,1
P-I,Abtb3,2.7255402427639432,Posterior,1
P-I,Acaa1a,0.3422453592036186,Posterior,1
P-I,Acaa2,-0.1512691767688395,Posterior,1
P-I,Acaca,-1.6415988014869012,Posterior,1
P-I,Acad10,-0.2741712614578812,Posterior,1
P-I,Acad11,0.02630600847419414,Posterior,1
P-I,Acad12,1.7325983823832454,Posterior,1
P-I,Acad8,-0.8684340052781114,Posterior,1
P-I,Acad9,0.371536667004867,Posterior,1
P-I,Acadl,1.2411778551412218,Posterior,1
P-I,Acadm,1.4188656123586452,Posterior,1
